McConnell tears into Biden's 'unpresidential' attacks, 4 hours ago, Senate Minority Leader Mitch McConnell R-Ky. delivered remarks on the Senate floor saying he did not recognize Biden when he delivered his voting rights..., https://www.youtube.com/watch%3Fv%3D7pK1K70-VeE 
Judge critical of Biden administration's progress on student debt relief claims, 5 hours ago, A federal judge is criticizing the Biden administration for not moving quickly enough to resolve claims from defrauded student loan borrowers who sued over..., https://www.washingtonpost.com/education/2022/01/12/student-debt-relief-backlog-biden/ 
Why Biden Democrats Push Voting Bills Against Odds, 5 hours ago, WASHINGTON—President Biden's speech in Georgia Tuesday didn't appear to change the political reality back in Washington that long-stalled elections bills..., https://www.wsj.com/articles/why-biden-democrats-push-voting-bills-against-odds-11641992402 
McConnell rips Biden’s voting rights speech as 'profoundly unpresidential', 5 hours ago, Senate Minority Leader Mitch McConnell ripped into President Biden's Georgia speech on the Democratic push for voting rights legislation..., https://nypost.com/2022/01/12/mcconnell-rips-bidens-speech-as-profoundly-unpresidential/ 
Biden’s Infrastructure Czar Says Fixing New Orleans Prepared Him for Job Ahead, 5 hours ago, Critics accused former New Orleans mayor Mitch Landrieu of moving too slowly to address aging infrastructure; the former mayor says the experience prepared..., https://www.wsj.com/articles/bidens-infrastructure-czar-says-fixing-new-orleans-prepared-him-for-job-ahead-11642020742 
President Joe Biden's voting rights 'rant' was 'beneath his office': Mitch McConnell, 5 hours ago, Senate Minority Leader Mitch McConnell blasted President Joe Biden and his speech on voting rights calling it a 'rant' that was 'beneath his office., https://www.youtube.com/watch%3Fv%3D-ozkIRbnhuU 
McConnell: Biden's voting rights speech "profoundly unpresidential", 5 hours ago, Senate Minority Leader Mitch McConnell (R-Ky.) on the Senate floor Wednesday slammed President Biden's voting rights speech calling it "divisive" and..., https://www.axios.com/mcconnell-biden-voting-rights-filibuster-07015c5f-e66f-4ec6-a400-8e8d5f90a886.html 
Quinnipiac poll shows Biden with 33 percent approval rating | TheHill, 5 hours ago, Just one-third of Americans approve of the job President Biden is doing a new low for the president in a Quinnipiac University poll released Wednesday., https://thehill.com/homenews/administration/589450-quinnipiac-poll-shows-biden-with-33-percent-approval-rating 
Biden pays silent tribute as Reid lies in state at Capitol, 5 hours ago, WASHINGTON (AP) — The late Sen. Harry Reid was remembered Wednesday at the U.S. Capitol as a “legendary leader” a hardscrabble Democrat who rose from..., https://apnews.com/article/harry-reid-lies-in-state-9a12e3fc2196e36cedcd2cb5b5da01d7 
Biden administration announces record-breaking offshore wind lease sale, 5 hours ago, The Biden administration continues to make progress on its climate agenda with several federal agencies announcing new clean energy projects that aim to..., https://abcnews.go.com/US/biden-administration-announces-record-breaking-offshore-wind-lease/story%3Fid%3D82228323 
Historic inflation under Biden now leading to empty shelves, 5 hours ago, 'Outnumbered' panel react to a D.C. shopper comparing the empty grocery store shelves to the Soviet Union. #FoxNewsSubscribe to Fox News!, https://www.youtube.com/watch%3Fv%3DFy5UJKz5igY 
JUST IN: Ted Cruz Accuses Biden Of Delivering 'Racist Speech' In Georgia, 5 hours ago, On the Senate floor Sen. Ted Cruz (R-TX) slammed President Biden's speech in Georgia on voting rights calling it "an incredibly demagogic racist speech..., https://www.youtube.com/watch%3Fv%3DW_UMkjTyksI 
It's time to choose Biden tells Republicans in fiery voting rights speech, 5 hours ago, President Joe Biden on Tuesday made a full-throated appeal for U.S. voting rights legislation stalled in Congress saying Democratic lawmakers should..., https://www.reuters.com/world/us/biden-champion-voting-rights-georgia-clock-ticks-reforms-2022-01-11/ 
As COVID rages Biden shows true colors – and his administration's incompetence, 5 hours ago, As the COVID-19 pandemic sweeps across the country Biden has proved he isn't just a failure. He also simply doesn't care., https://www.foxnews.com/opinion/covid-rages-biden-admin-incompetence-ronna-mcdaniel 
Tensions at PBS over who should conduct Biden interview: report, 5 hours ago, When an interview with Biden was granted to PBS tensions arose between Yamiche Alcindor and Judy Woodruff over who should conduct the questioning., https://nypost.com/2022/01/12/tensions-at-pbs-over-biden-interview-jockeying-report/ 
Is Inflation a Microeconomic Problem? That’s What Biden’s Competition Push Is Betting, 5 hours ago, Efforts to boost the economy's supply side such as in meat and shipping might underplay bigger forces such as excess demand., https://www.wsj.com/articles/is-inflation-a-microeconomic-problem-thats-what-bidens-competition-push-is-betting-11641997002 
'You Want To Take Another Crack At That?': John Kennedy Grills Biden Nominee, 5 hours ago, At today's Senate Judiciary Committee hearing Sen. John Kennedy (R-LA) questioned Jessica Clarke nominee to be United States District Judge for the..., https://www.youtube.com/watch%3Fv%3D_ErRN10sk5c 
Biden admin hits North Korea officials with sanctions over hypersonic missile test, 5 hours ago, North Korea leader Kim Jong Un claimed the successful missile test would greatly increase the country's nuclear "war deterrent.", https://www.foxnews.com/world/biden-admin-north-korea-sanctions-hypersonic-missile-test 
Price spikes threaten to ground Biden's big-spending plans, 5 hours ago, President Joe Biden suffered a new blow to his economic agenda this week with the latest hot inflation data following a warning from Federal Reserve Chair..., https://www.politico.com/news/2022/01/12/inflation-biden-economy-agenda-526980 
